,Acronym,Meaning
3164,msh,Me so horny
3165,msibo,my side is busting open
3166,msie,microsoft's internet explorer
3167,msm,main stream media
3168,msmd,monkey see - monkey do
3169,msngr,messenger
3170,mssg,message
3171,mstrb8r,masturbator
3172,msv,Microsoft Vista
3173,mtc,more to come
3174,mtf,More to Follow
3175,mtfbwu,may the force be with you
3176,mtfbwy,May the Force be with you
3177,mtg,Meeting
3178,mtherfker,mother f**ker
3179,mthrfkr,mother f**ker
3180,mtl,more than likely
3181,mtr,matter
3182,mtrfkr,motherf**ker
3183,mty,empty
3184,mu,miss you
3185,mudda,mother
3186,mul,miss you lots
3187,musiq,music
3188,musm,Miss You So Much
3189,mutha,mother
3190,muve,multi-user virtual environment
3191,muvva,mother
3192,muzik,music
3193,Mvp,Most valuble player
3194,mw2,modern warfare 2
3195,mw3,Modern Warfare 3
3196,mwah,kiss
3197,mwf,Married White Female
3198,mwm,married white man
3199,mwsmirl,maybe we should meet in real life
3200,myaly,miss you and love you
3201,myfb,mind your f**king business
3202,myn,mine
3203,myob,mind your own business
3204,myodb,mind your own damn business
3205,myofb,mind your own f**king business
3206,mypl,my young padawan learner
3207,mysm,Miss you so much
3208,myspce,myspace
3209,Oml,Oh my lord
3210,Sma,Suck my ass
3211,n,and
3212,n e,any
3213,n/a,not applicable
3214,n/a/s/l,"name, age, sex location"
3215,n/c,no comment
3216,n/m,nevermind
3217,n/n,nickname
3218,n/o,no offense
3219,n/r,No replys 
3220,n/t,no text
3221,n00b,newbie
3222,n00bs,newbies
3223,n00dz,nudes
3224,n00s,news
3225,n1,nice one
3226,n199312,african american
3227,n1994,african american
3228,n2,into
3229,n2b,not too bad
3230,n2bb,nice to be back
3231,n2bm,Not to be mean
3232,n2br,not to be rude
3233,n2g,Not too good
3234,n2m,not too much
3235,n2mh,not too much here
3236,n2mhbu,not too much how about you?
3237,n2mhjc,not too much here just chillin
3238,n2mu,"not too much, you?"
3239,n2n,need to know
3240,n2p,need to pee
3241,n64,Nintendo 64
3242,n8v,native
3243,na,not applicable
3244,na4w,not appropriate for work
3245,naa,not at all
3246,nade,grenade
3247,nafc,Not Appropriate for Children
3248,nafkam,Not Away From Keyboard Any More
3249,naft,Not A f**king Thing
3250,nafta,North American Free Trade Agreement
3251,nah,no
3252,namh,not at my house
3253,nao,Not As Often
3254,natch,naturally
3255,natm,not at the minute
3256,naw,no
3257,naw-t,Naughty
3258,nawidt,never again will i do that
3259,nawt,not
3260,naww,no
3261,nayl,in a while
3262,nb,not bad
3263,"nb,p","nothing bad, parents"
3264,nba,national basketball association 
3265,nbd,no big deal
3266,nbdy,nobody
3267,nbf,never been f**ked
3268,nc,not cool
3269,ncaa,National Collegiate Athletic Association
3270,ncs,no crap sherlock
3271,nd,and
3272,ndit,No details in thread
3273,ndn,indian
3274,nds,Nintendo DS
3275,ne,any
3276,ne1,anyone
3277,neday,any day
3278,nedn,any day now
3279,nefing,anything
3280,negl,not even going to lie
3281,nei,Not enough information
3282,neida,any idea
3283,nekkid,naked
3284,nemore,Anymore
3285,nes,Nintendo Entertainment System
3286,nethin,anything
3287,nething,anything
3288,neva,never
3289,nevah,never
3290,nevar,Never
3291,nevarz,never
3292,nevm,never mind
3293,nevr,never
3294,newais,Anyways
3295,neway,anyway
3296,neways,anyways
3297,newayz,anyways
3298,newb,someone who is new
3299,newbie,new player
3300,newez,anyways
3301,nf,not funny
3302,nfbsk,not for british school kids
3303,nfc,no f**king clue
3304,nfd,no f**king deal
3305,nff,not f**king fair
3306,nfg,No f**king Good
3307,nfi,no f**king idea
3308,nfr,not for real
3309,nfs,not for sale
3310,nft,no further text
3311,nfw,no f**king way
3312,ng,nice game
3313,ngaf,nobody gives a f**k
3314,ngl,Not Gonna Lie
3315,nh,nice hand
3316,nhatm,not here at the moment
3317,ni,no idea
3318,ni994,n***a
3319,nib,new in box
3320,nic,Network Interface Card
3321,nif,non internet friend
3322,nifoc,naked in front of computer
3323,nifok,naked in front of keyboard
3324,nigysob,now I've got you son of a b***h
3325,nimby,not in my backyard
3326,nin,no its not
3327,nip,nothing in particular
3328,nips,nipples
3329,nite,night
3330,nitfm,not in the f**king mood
3331,nitm,Not in the mood
3332,niwdi,no I won\'t do it
3333,nizzle,n****r
3334,nj,Nice job
3335,njoy,enjoy
3336,njp,nice job partner
3337,nk,no kidding
3338,nkd,Naked
3339,nkt,never knew that
3340,nld,nice lay down
3341,nm,not much
3342,nm u,"not much, you"
3343,nmb,Not my business 
3344,nmbr,number
3345,nme,enemy
3346,nmf,not my fault
3347,nmfp,not my f**king problem
3348,nmh,not much here
3349,nmhau,nothing much how about you
3350,nmhbu,nothing much how about you
3351,nmhm,"nothing much here, man"
3352,nmhu,"nothing much here, you?"
3353,nmhwby,nothing much here what about you
3354,nmjb,nothing much just bored
3355,nmjc,"not much, just chillin'"
3356,nmjch,Nothing Much Just Chilling
3357,nmjcu,"nothing much, just chilling, you?"
3358,nmjdhw,nothing much just doing homework
3359,nmjfa,"nothing much, just f**king around"
3360,nmnhnlm,"no money, no honey, nobody loves me"
3361,nmp,Not My Problem
3362,nmu,"nothing much, you"
3363,nmw,no matter what
3364,nmwh,no matter what happens
3365,nn,good night
3366,nn2r,no need to respond
3367,nnaa,no not at all
3368,nnfaa,no need for an apology
3369,nnr,no not really
3370,nntr,no need to reply
3371,nntst,no need to say thanks
3372,no pro,no problem
3373,no1,no one
3374,noaa,National Oceanic and Atmospheric Administration
3375,noc,naked on camera
3376,noe,know
3377,noes,no
3378,nofi,No Flame Intended
3379,nolm,No one loves me
3380,nomw,not on my watch
3381,noob,someone who is new
3382,noobie,new person
3383,nooblet,new player
3384,noobz0r,newbie
3385,noodz,nude pictures
3386,nookie,sex
3387,nop,normal operating procedure
3388,norc,No one really cares
3389,NORWICH,knickers off ready when I come home
3390,notin,nothing
3391,noty,no thank you
3392,noub,none of your business
3393,nowai,No way
3394,nowin,knowing
3395,noyb,none of your business
3396,noygdb,none of your god damn business
3397,np,no problem
3398,np4np,naked pic for naked pic
3399,npa,not paying attention
3400,npc,Non-playable character
3401,npe,nope
3402,npgf,no problem girl friend
3403,nph,no problem here
3404,npi,no pun intended
3405,npnt,"no picture, no talk"
3406,nps,No Problems
3407,nq,Thank you
3408,nqa,no questions asked
3409,nr, no reserve
3410,nr4u,not right for you
3411,nrg,energy
3412,nrn,No Response Necessary
3413,ns,nice
3414,nsa,No Strings Attached
3415,nsas,No Strings Attached Sex
3416,nsfmf,not so fast my friend
3417,nsfu,no sex for you
3418,nsfw,not safe for work
3419,nss,no s**t sherlock
3420,nst,no school today
3421,nstaafl,No Such Thing As a Free Lunch
3422,nt,nice try
3423,ntb,not to bad
3424,ntbn,no text-back needed
3425,nthg,nothing
3426,nthin,nothing
3427,nthn,nothing
3428,ntigaf,not that i give a f**k
3429,ntk,Need to know
3430,ntkb,need to know basis
3431,ntm,not to much
3432,ntmk,Not to my knowledge
3433,ntmu,nice to meet you
3434,ntmy,nice to meet you
3435,ntn,nothing
3436,ntrly,Not Really
3437,nts,note to self
3438,ntstt,not safe to talk 
3439,ntt,need to talk
3440,ntta,nothing to talk about 
3441,nttawwt,Not that there is anything wrong with that
3442,nttiawwt,Not that there is anything wrong with that.
3443,ntty,nice talking to you
3444,ntw,not to worry
3445,ntxt,no text
3446,nty,no thank you
3447,nu,new
3448,nub,inexperienced person
3449,nuff,enough
3450,nuffin,nothing
3451,nufin,nothing
3452,nutin,nothing
3453,nuttin,nothing
3454,nv,envy
3455,nvm,never mind
3456,nvmd,nevermind
3457,nvmdt,never mind then
3458,nvmt,nevermind that
3459,nvr,never
3460,nvrm,Nevermind
3461,nvrmnd,never mind 
3462,nw,no way
3463,nwb,a new person
3464,nwih,no way in hell
3465,nwj,No Way Jose
3466,nwo,new world order
3467,nwrus,no way are your serious 
3468,nws,not work safe
3469,nwtf,now what the f**k
3470,nwy,no way
3471,nxt,next
3472,ny1,Anyone
3473,nyc,New York City
3474,nyf,not your fault
3475,nyp,not your problem
3476,nywy,anyway
3477,doge,dog
3478,o,Oh
3479,o rly,oh really
3480,o&o,over and out
3481,o.p.,Original Poster
3482,o/y,oh yeah
3483,o4b,Open for business
3484,oaoa,over and over again
3485,oar,on a roll
3486,oaw,on a website
3487,obgjfioyo,old but good job finding it on your own
3488,obj,Object
3489,obl,osama bin laden
3490,obo,or best offer
3491,obtw,"oh, by the way"
3492,obv,obviously
3493,obvi,obviously
3494,oc,Original character 
3495,occ,Occupation
3496,ocd,obsessive compulsive disorder
3497,ocgg,"Oh Crap, gotta go"
3498,od,over dose
3499,oday,software illegally obtained before it was released
3500,odg,oh dear God
3501,odtaa,one damn thing after another
3502,oe,or else
3503,oed,oxford english dictionary
3504,of10,often
3505,ofc,of course
3506,ofcol,oh for crying out loud
3507,ofn,Old f**king News
3508,oftc,out for the count
3509,oftn,often
3510,oftpc,off topic
3511,ofwg,old fat white guys
3512,og,original gangster
3513,ogw,oh guess what
3514,oh noes,oh s**t!
3515,oh noez,Oh no!
3516,ohic,oh I see
3517,ohn,oh hell no
3518,ohnoez,Oh no
3519,ohy,oh hell yeah
3520,oibmpc,oops I broke my computer
3521,oic,"oh, I see"
3522,oicic,oh i see i see
3523,oicu,"oh, i see you!"
3524,oicwydt,"oh, i see what you did there"
3525,oidia,oops i did it again
3526,oink,Oh I Never Knew
3527,oiyd,Only In Your Dreams
3528,oj,orange juice
3529,ojsu,"Oh, just shut up!"
3530,ok,okay
3531,oll,online love
3532,olpc,One Laptop Per Child
3533,omdg,oh my dear god
3534,omdz,Oh My Days 
3535,omfd,oh my f**king days
3536,omfg,oh my f**king god
3537,omfgn,Oh my f**king god noob
3538,omfgsh,Oh My f**king Gosh
3539,omfj,oh my f**king jesus
3540,omfl,oh my f**king internet connection is slow
3541,omfsm,Oh My Flying Spaghetti Monster
3542,omfwtg,Oh My f**k What The God?
3543,omg,oh my God
3544,omg's,oh my god's
3545,omgd,Oh my gosh dude
3546,omgf,oh my god...f**k!
3547,omgg,Oh my gosh girl
3548,omgicfbi,Oh my god I can't f**king believe it
3549,omgih,Oh My God In Heaven
3550,omgihv2p,oh my god i have to pee
3551,omginbd,"Oh my God, It's no big deal"
3552,omgn,oh my goodness
3553,omgny,oh my god no way
3554,omgosh,Oh my gosh
3555,omgroflmao,oh my god roll on the floor laughing my ass off
3556,Omgs,Oh my gods
3557,omgsh,oh my gosh
3558,omgty,Oh my god thank you
3559,omgukk,oh my god you killed kenny
3560,omgwtf,"on my God, what the f**k"
3561,OMGWTFBBQ,"oh my God, what the f**k"
3562,omgwtfhax,"Oh My God What The f**k, Hacks!"
3563,omgwtfit,"Oh my God, what the f**k is that"
3564,OMGWTFNIPPLES,"on my God, what the f**k"
3565,omgyg2bk,oh my god you got to be kidding
3566,omgykkyb,oh my god you killed kenny you b*****ds
3567,omgz,oh my God
3568,omgzors,oh my god
3569,omhg,oh my hell god
3570,omj,oh my jesus
3571,ommfg,oh my mother f**king god
3572,omt,one more time
3573,omw,on my way
3574,omwh,on my way home
3575,omwts,on my way to school
3576,omy,oh my!
3577,onoez,oh no
3578,onoz,oh no
3579,onud,oh no you didn't
3580,onyd,oh no you didn't
3581,oob,out of buisness
3582,oobl,out of breath laughing
3583,ooc,out of character
3584,oohm,out of his/her mind
3585,oom,Out of mana
3586,oomf,One of my followers
3587,oomm,out of my mind
3588,ooo,out of the office
3589,ootb,out of the blue
3590,ootd,outfit of the day
3591,oow,On our way
3592,ooym,out of your mind
3593,op,operator
3594,orgy,orgasm
3595,orlsx,oral sex
3596,orly,Oh Really
3597,orly,oh really?
3598,orpg,online role playing game
3599,os,operating system
3600,osbutctt,only sad b*****ds use this crappy text talk
3601,osd,On Screen Display
3602,osifgt,oh s**t i forgot
3603,oslt,or something like that
3604,osy,oh screw you
3605,ot,off topic
3606,otb,off the boat
3607,otc,off the chain
3608,otfcu,on the floor cracking up
3609,otfl,on the floor laughing
3610,otflmao,On the floor laughing my ass off
3611,otflmfao,On the floor laughing my f**king ass off
3612,otflol,on the floor laughing out loud
3613,otfp,on the f**king phone
3614,otft,over the f**king top
3615,oti,on the internet
3616,otl,out to lunch
3617,otoh,on the other hand
3618,otp,on the phone
3619,ots,over the shoulder
3620,ott,over the top
3621,otw,on the way
3622,outa,out of
3623,ova,over
3624,oways,oh wow are you serious
3625,owned,made to look bad
3626,ownt,made to look bad
3627,ownz,owns
3628,ownzer,one who makes others look bad
3629,ownzorz,Owned.
3630,owt,Out
3631,oww,"Oops, wrong window"
3632,oyfe,Open Your f**king Eyes
3633,oyid,oh yes i did
3634,oyo,on your own
3635,oyr,Oh Yeah Right
3636,p-nis,penis
3637,p.o.b.,Parent Over Back
3638,p.o.s,parent over shoulder
3639,p.o.s.,parent over shoulder
3640,p/oed,pissed off
3641,p/w,password
3642,p00p,poop
3643,p0wn,make to look bad
3644,p2p,peer to peer
3645,p2w,pay to win
3646,p33n,penis
3647,p3n0r,penis
3648,p3n15,penis
3649,p3n1s,penis
3650,p4p,pic for pic
3651,p911,parent emergency (parent near)
3652,[email protected],parents are watching
3653,Pab,p***y ass b***h
3654,pach,parents are coming home
3655,pachs,parents are coming home soon
3656,pae,Pimpin aint easy
3657,pag,Parents Are Gone
3658,pah,parents at home
3659,panl,party all night long
3660,parnts,parents
3661,pas,parent at side
3662,pasii,put a sock in it
3663,patd,Panic At The Disco
3664,paw,parents are watching
3665,pb,peanut butter
3666,pb&j,peanut butter and jelly
3667,pbb,parent behind back
3668,pbcakb,problem between chair and keyboard
3669,pbj,peanut butter and jelly
3670,pbjt,peanut butter jelly time
3671,pbkc,Problem between keyboard & chair
3672,pbly,probably
3673,pbm,parent behind me
3674,pbp,Please Be Patient
3675,pcbd,page cannot be displayed
3676,pce,peace
3677,pcent,percent
3678,pcm,please call me
3679,pco,please come over
3680,pcrs,Parents can read slang
3681,pda,public display of affection
3682,pdg,pretty damn good
3683,pdq,pretty damn quick
3684,peanus,penis
3685,pearoast,repost
3686,pebcak,Problem Exists Between Chair and Keyboard
3687,pebkac,problem exists between keyboard and chair
3688,pebmac,Problem Exist Between monitor and chair
3689,peep dis,check out what I'm telling you
3690,peeps,people
3691,pen0r,Penis
3692,pen15,penis
3693,penor,penis
3694,peoples,people
3695,perv,pervert
3696,pewp,poop
3697,pex,Please explain?
3698,pezzas,parents
3699,pf,profile 
3700,pfa,Please Find Attached
3701,pfm,Please forgive me
3702,pfo,please f**k off
3703,pfos,parental figure over sholder
3704,pfy,pimply faced youth
3705,pg,page
3706,ph#,phone number
3707,ph33r,fear
3708,ph34r,fear
3709,phag,f**
3710,phail,fail
3711,phat,pretty hot and tasty
3712,phayl,fail
3713,phear,fear
3714,phlr,peace hugs love respect
3715,phm,please help me
3716,phq,f**k you
3717,phreak,freak
3718,phreaker,phone hacker
3719,phuck,f**k
3720,phucker,f**ker
3721,phuk,f**k
3722,phun,fun
3723,phux,f**k
3724,phuxor,f**k
3725,piab,panties in a bunch
3726,pic,picture
3727,piccies,Pictures
3728,pics,pictures
3729,pihb,pee in his/her butt
3730,piihb,put it in her butt
3731,piitb,put it in the butt
3732,pima,Pain in my ass
3733,pimfa,pain in my f**king ass
3734,pimha,Pain in my hairy ass
3735,pimpl,pissing in my pants laughing
3736,pino,Filipino
3737,pir,parents in room
3738,pirlos,parent in room looking over shoulder
3739,pita,pain in the ass
3740,pitfa,Pain In The f**king Ass
3741,pitr,parent in the room
3742,pitrtul,parents in the room text you later
3743,piw,Parent is watching
3744,pix,pictures
3745,pk,player kill
3746,pkemon,pokemon
3747,pker,player killer
3748,pking,player killing
3749,pl,parent looking
3750,pl0x,please
3751,pl8,plate
3752,plac,parent looking at computer
3753,plams,parents looking at my screen
3754,plars,party like a rock star
3755,platcs,parent looking at the computer screen
3756,ple's,please
3757,pleaz,please
3758,pleez,please
3759,pleeze,please
3760,pleze,please
3761,pliz,please
3762,plma,please leave me alone 
3763,plmk,please let me know
3764,plocks,please
3765,plom,parents looking over me
3766,plomb,parents looking over my back
3767,ploms,parent looking over my shoulder
3768,plos,Parents Looking Over Shoulder
3769,plox,please
3770,ploxxorz,please
3771,pls,please
3772,plse,please
3773,plx,please/thanks
3774,plywm,play with me
3775,plz,please
3776,plzkthx,"Please? OK, Thank you"
3777,plzthx,please? Thanks
3778,pmfji,Pardon me for jumping in
3779,pmfsl,piss my f**king self laughing
3780,pmg,oh my God
3781,pmita,pound me in the ass
3782,pmitap,pound me in the ass prison
3783,pml,pissing myself laughing
3784,pmo,pissing me off
3785,pmp,pissing my pants
3786,pmpl,piss my pants laughing
3787,pmsfl,Pissed Myself f**king Laughing
3788,pmsl,piss my self laughing
3789,pmt,pretty much this
3790,pnbf,Potential new boy friend
3791,pnhlgd,"parents not home, let's get dirty"
3792,pns,penis
3793,pnus,penis
3794,po,piss off
3795,po po,police
3796,po'd,pissed off
3797,pob,parent over back
3798,poc,Piece of crap
3799,poed,pissed off
3800,poets,"piss off early, tomorrow's Saturday"
3801,poi,point of interest
3802,poidnh,Pics or it did not happen 
3803,pol,parent over looking
3804,poms,parent over my shoulder
3805,poo,poop
3806,poontang,female genitalia
3807,pooter,Computer
3808,popo,police
3809,poq,Piss Off Quick
3810,pos,Parent Over Shoulder
3811,poscs,parents over sholder change subject
3812,posmbri,parent over shoulder might be reading it
3813,potc,pirates of the caribbean
3814,pots,Plain Old Telephone Service
3815,pov,point of view
3816,pow,prisoner of war
3817,pp,pee pee
3818,ppl,people
3819,ppls,people
3820,pplz,people
3821,ppor,post proof or recant
3822,ppppppp,Prior Proper Planning Prevents Piss Poor Performance
3823,pr0,professional
3824,pr0n,porn
3825,pr0nz,porn
3826,prblm,Problem
3827,prd,period
3828,preggers,pregnant
3829,prego,Pregnant
3830,prfct,perfect
3831,prn,porn
3832,prncpl,principal
3833,prncss,princess
3834,prnoscrn,porn on screen
3835,pro,professional
3836,prob,problem
3837,probly,probably
3838,probz,probably
3839,prod,product
3840,prolly,Probably
3841,prollz,probably
3842,promos,promotions
3843,pron,porn
3844,proxie,proxy
3845,prp,please reply
3846,prsn,person
3847,prty,party
3848,prv,private
3849,prvrt,pervert
3850,prw,parents are watching
3851,ps1,Play Station 1
3852,ps2,Play Station 2
3853,ps3,Play Station 3
3854,psa,Public Service Announcement
3855,psbms,parent standing by my side
3856,psn,playstation netwok
3857,psos,parent standing over sholder
3858,psp,playstation portable
3859,pssy,p***y
3860,pst,please send tell
3861,pt33n,preteen
3862,ptbb,pass the barf bag
3863,ptfo,passed the f**k out
3864,pthc,preteen hardcore
3865,ptl,Praise the Lord
3866,pto,Personal Time Off 
3867,ptw,play to win 
3868,puh-leaze,Please
3869,purty,pretty
3870,puter,Computer
3871,pvp,player versus player
3872,pvt,pervert
3873,pw,parent watching
3874,pwb,p***y whipped b***h
3875,pwcb,parents watching close by
3876,pwd,password
3877,pwn,made to look bad
3878,pwn3d,owned
3879,pwn3r,owner
3880,pwnage,Ownage
3881,pwnd,owned
3882,pwned,made to look bad
3883,pwner,owner
3884,pwnr,owner
3885,pwnt,owned
3886,pwnz,owns
3887,pwnzor,owner
3888,pwob,Parent watching over back
3889,pwoms,parent watching over my shoulder
3890,pwor,power
3891,pwos,parent was over sholder
3892,pww,parents were watching
3893,pxr,punk rocker
3894,pydim,put your d**k in me
3895,pyfco,put your freaking clothes on
3896,pyt,pretty young thing
3897,pz,peace
3898,pzled,puzzled
3899,p^s,parent over shoulder
3900,q2c,quick to c**
3901,q33r,Queer
3902,q4u,question for you
3903,qed,I've made my Point
3904,qfe,quoted for emphasis
3905,qfmft,quoted for motherf**king truth
3906,qft,quoted for truth
3907,qft&gj,quoted for truth and great justice
3908,ql,cool
3909,qltm,quietly laughing to myself
3910,qna,question and answer
3911,qool,cool
3912,qoolz,cool
3913,qotd,quote of the day
3914,qotsa,queens of the stone age
3915,qoty,quote of the year
3916,qpr,quite pathetic really
3917,qpwd,quit posting while drunk
3918,qq,crying eyes
3919,qt,cutie
3920,qt3.14,cutie pie
3921,qte,cutie
3922,qtpi,cutie pie
3923,Irdfc,I really don't f**king care
3924,NRA,National Rifle Association
3925,r,are
3926,r-tard,retard
3927,r.i.p,Rest in peace
3928,r.i.p.,rest in peace
3929,r0x0rz,rocks
3930,r2f,Ready To f**k
3931,r8,rate
3932,r8p,rape
3933,r8pist,rapist
3934,r8t,rate
3935,ra2,red alert 2 (game)
3936,ra3,Red Alert 3 (game)
3937,raoflmao,rolling around on floor laughing my ass off
3938,rawk,Rock
3939,rawks,rocks
3940,rawr,roar
3941,[email protected],right back at you
3942,rbau,right back at you
3943,rbay,right back at you
3944,rbm,right behind me
3945,rbtl,Read between the lines
3946,rbty,right back to you
3947,rcks,Rocks
3948,rcsa,right click save as
3949,rcvd,received
3950,rdy,ready
3951,re,reply
3952,re/rehi,hello again
3953,reefer,marijuana
3954,refl,rolling on the floor laughing
3955,rehi,hello again
3956,rele,really
3957,rents,parents
3958,rentz,parents
3959,rep,to represent
3960,reppin,representing
3961,retrotextual,One who is using out of date words and abbreviations while texting.
3962,rff,really f**king funny
3963,rflmao,rolling on the floor laughing my ass off
3964,rfn,right f**king now
3965,rgr,roger
3966,rhcp,red hot chilli peppers
3967,rhgir,really hot guy in room
3968,rhs,right hand side
3969,ricl,rolling in chair laughing
3970,rifk,rolling on the floor laughing
3971,rihad,Rot In Hell And Die
3972,rino,republican in name only
3973,rite,right
3974,ritjive,non virgin
3975,rjct,reject
3976,rl,real life
3977,rlbf,Real Life Boy Friend
3978,rlf,Real Life Friend
3979,rlg,really loud giggle
3980,rlgf,Real Life Girl Friend
3981,rlly,really
3982,rln,real life name
3983,rly,really
3984,rlz,rules
3985,rlze,realize
3986,rm,room
3987,rmao,rolling my ass off
3988,rme,rolling my eyes
3989,rmr,remember
3990,rmso,Rock My socks off
3991,rn,Right now
3992,rnt,aren't
3993,ro,rock out
3994,rockr,rocker
3995,rodger,affirmative
3996,rofalol,roll on the floor and laugh out loud
3997,rofc,Rolling On Floor Crying
3998,roffle,rolling on the floor laughing
3999,roffle out loud,rolling on the floor laughing out loud
4000,rofflecake,rolling on the floor laughing
4001,rofflecopters,rolling on the floor with laughter
4002,roffleol,rolling on the floor laughing out loud
4003,roffles,rolling on floor laughing
4004,rofflmfao,rolling on the floor laughing my f**king ass
4005,rofl,rolling on the floor laughing
4006,rofl&pmp,rolling on floor laughing and peeing my pants
4007,roflao,rolling on the floor laughing my ass off
4008,roflastc,Rolling On Floor Laughing And Scaring The Cat
4009,roflcopter,Rolling on the floor laughing
4010,roflcopters,"rolling on the floor laughing, VERY funny."
4011,roflkmd,rolling on the floor laughing kicking my dog
4012,rofllh,rolling on the floor laughing like hell
4013,roflmao,rolling on the floor laughing my ass off
4014,roflmaoapimp,rolling on the floor laughing my ass off and peeing in my pants
4015,roflmaool,Rolling on the floor laughing my ass off out loud
4016,roflmaopmp,"rolling on the floor, laughing my ass off, pissing my pants"
4017,roflmaouts,Rolling on floor laughing my f**king ass off unable to speak
4018,roflmaowpimp,rolling on floor laughing my ass off while peeing in my pants
4019,roflmbfao,Rolling On Floor Laughing My Big Fat Ass Off 
4020,roflmbo,rolling on floor laughing my butt off
4021,roflmfao,rolling on the floor laughing my f**king ass off
4022,roflmfaopimp,rolling on the floor laughing my f**king ass off pissing in my pants
4023,roflmfaopmp,rolling on flor laughing my f**king ass of peeing my pants
4024,roflmgao,rolling on the floor laughing my gay ass off
4025,roflmgdao,rolling on the floor laughing my god damn ass off
4026,roflmgdmfao,roling on floor laughing my god damn mother f**king ass off
4027,roflmgo,Rolling On Floor Laughing My Guts Out
4028,roflmho,Rolling on the floor laughing my head off
4029,roflmiaha,Rolling on the floor laughing myself into a heart attack
4030,roflmmfao,rolling on the floor laughing my mother f**king ass off
4031,roflol,rolling on floor laughing out loud
4032,roflolbag,Rolling On The Floor Laughing Out Loud Busting A Gut
4033,roflpimp,rolling on the floor laughing pissing in my pants
4034,roflpmp,rolling on the floor laughing peeing my pants
4035,roflwtime,Rolling on the Floor laughing with tears in my eyes
4036,rofpml,rolling on the floor pissing myself laughing
4037,rofwl,Rolling on the floor while laughing
4038,roger,affirmative
4039,rogl,rolling on ground laughing
4040,roglmfao,rolling on ground laughing my f**king ass off
4041,roi,Return On Investment
4042,roids,steroids
4043,roj,affirmative
4044,rol,rolling over laugihng
4045,rolmao,Rolling Over Laughing My Ass Off
4046,rolmfao,rolling over laughing my f**king ass off
4047,romalsh,rolling on my ass laughing so hard
4048,rombl,rolled off my bed laughing
4049,rong,wrong
4050,roofles,rolling on the floor laughing
4051,ror,raughing out roud
4052,rotf,rolling on the floor
4053,rotfalol,roll on the floor and laugh out loud
4054,rotffl,roll on the f**king floor laughing
4055,rotfflmao,rolling on the f**king floor laughing my ass off
4056,rotfflmfao,rolling on the f**king floor laughing my f**king ass off
4057,rotfl,rolling on the floor laughing
4058,rotflaviab,rolling on the floor laughing and vomiting in a bucket
4059,rotflmao,rolling on the floor laughing my ass off
4060,rotflmaofaktd,Rolling on the floor laughing my ass off farted and killed the dog
4061,rotflmaool,rolling on the floor laughing my ass off out loud
4062,rotflmaostc,rolling on the floor laughing my ass off scaring the cat
4063,rotflmbo,rolling on the floor laughing my butt off
4064,rotflmfao,rolling on the floor laughing my f**king ass off
4065,rotflmfaopimp,rolling on the floor laughing my f**king ass off peeing in my pants
4066,rotflmfaopmp,rolling on the floor laughing my ass off pissin my pants
4067,rotflmfho,rolling on the floor laughing my f**king head off
4068,rotflmho,rolling on the floor laughing my head off
4069,rotflmmfao,rolling on the floor laughing my mother f**king ass off
4070,rotflol,rolling on the floor laughing out loud
4071,rotfpm,rolling on the floor pissing myself
4072,rotfwlmao,rolling on the floor while laughing my ass off
4073,rotg,rolling on the ground
4074,rotgl,roll on the ground laughing
4075,rotglmao,rolling on the ground laughing my ass off
4076,rotw,rest of the world
4077,rowyco,rock out with your c**k out
4078,rox,rocks
4079,roxor,rock
4080,roxorz,rocks
4081,roxxor,rock
4082,rp,roleplay
4083,rpg,role playing game
4084,rpita,royal pain in the ass
4085,rplbk,reply back
4086,rpo,royally pissed off
4087,rq,real quick
4088,rr,rest room
4089,rrb,restroom break
4090,rsn,real soon now
4091,rsp,respawn
4092,rspct,respect
4093,rsps,Runescape Private Server
4094,RT,retweet
4095,rta,read the article
4096,rtard,retard
4097,rtbq,Read The Blinking Question
4098,rtf,return the favor
4099,rtfa,read the f**king article
4100,rtffp,Read the f**king front page
4101,rtfm,read the f**king manual
4102,rtfmfm,read the f**king manual f**king moron
4103,rtfmm,read the f**king manual moron
4104,rtfms,Read The f**king Manual Stupid
4105,rtfp,read the f**king post
4106,rtfq,Read The f**king Question
4107,rtfs,read the f**king summary
4108,rtfu,Ready the f**k up
4109,rtg,ready to go
4110,rtl,report the loss
4111,rtm,read the manual
4112,rtr,Read the Rules
4113,rtry,retry
4114,rts,Real-time strategy
4115,ru,are you
4116,ru18,are you 18
4117,rua,are you alone
4118,ruabog,are you a boy or girl
4119,ruagoab,are you a girl or a boy
4120,rubz2nt,are you busy tonight
4121,rufkm,are you f**king kidding me
4122,rugay,are you gay
4123,rugta,are you going to answer
4124,ruh,are you horny
4125,ruk,are you ok?
4126,rukm,are you kidding me
4127,rul8,Are you late
4128,rumf,Are you male or female
4129,ruok,are you ok?
4130,rur,are you ready
4131,rut,are you there
4132,ruwm,are you watching me
4133,rwb,Rich White b***h
4134,rys,are you single
4135,ryt,right
4136,ryte,right
4137,*s*,smile
4138,psl,Pumpkin Spice Latte
4139,s'ok,it's okay
4140,s'pose,suppose
4141,s'up,what is up
4142,s.i.n.g.l.e,"Stay intoxicated nightly, get laid everyday."
4143,s.i.t.,stay in touch
4144,s.o.a.b.,son of a b***h
4145,s.o.b.,son of a b***h
4146,s.w.a.k.,sealed with a kiss
